,level_0,index,_date,count,mean,std,min,25%,50%,75%,max,pos,neg,neu,user,month,moving_avg
0,0,0,2020-01-01,2.0,0.18490000000000004,0.8298605184005322,-0.4019,-0.10849999999999999,0.18490000000000004,0.47830000000000006,0.7717,1,1,0.0,biden,1,
1,1,1,2020-01-02,7.0,0.36634285714285714,0.6682347612856399,-0.5719,-0.12315000000000001,0.7269,0.844,0.9677,4,2,1.0,biden,1,
2,2,2,2020-01-03,7.0,-0.4414571428571428,0.4003878322208059,-0.7814,-0.7088,-0.5859,-0.2658,0.2263,0,5,2.0,biden,1,
3,3,3,2020-01-04,5.0,0.14601999999999998,0.62201795150944,-0.7964,0.0,0.128,0.5859,0.8126,2,1,2.0,biden,1,
4,4,4,2020-01-05,3.0,-0.5244333333333334,0.3095993593877955,-0.8768,-0.63865,-0.4005,-0.34825,-0.296,0,2,1.0,biden,1,
5,5,5,2020-01-06,5.0,-0.49408,0.7135285957829581,-0.8922,-0.8639,-0.7721,-0.7184,0.7762,1,4,0.0,biden,1,
6,6,6,2020-01-07,7.0,-0.36051428571428573,0.5689962490461352,-0.765,-0.6577,-0.6549,-0.3286,0.8689,1,5,1.0,biden,1,-0.16046027210884356
7,7,7,2020-01-08,4.0,0.486725,0.550415324247669,-0.3182,0.364975,0.6883,0.81005,0.8885,3,0,1.0,biden,1,-0.11734241496598642
8,8,8,2020-01-09,8.0,0.040612499999999996,0.7710910293445997,-0.8689,-0.78005,0.1586,0.744175,0.9451,4,3,1.0,biden,1,-0.16387532312925174
9,9,9,2020-01-10,4.0,-0.6348,0.4274586373752046,-0.9291,-0.8491500000000001,-0.80505,-0.5907,0.0,0,3,1.0,biden,1,-0.19149573129251704
10,10,10,2020-01-11,6.0,0.7790500000000001,0.14478572788779978,0.5719,0.6839500000000001,0.81935,0.8521500000000001,0.9618,6,0,0.0,biden,1,-0.10106287414965988
11,11,11,2020-01-12,5.0,0.55606,0.42520273752646515,0.0,0.1928,0.85,0.8625,0.875,3,0,2.0,biden,1,0.05329331632653061
